0,SansAnimation,,,,,,,,
0,SansHead,ClosedEyes,,,,,,,
0,SansText,ready?,,,,,,,
0,BlackScreen,1,,,,,,,
0,Sound,Flash,,,,,,,
0.06,BlackScreen,0,,,,,,,
0,Sound,Flash,,,,,,,
0,CombatZoneResizeInstant,239,226,404,391,,,,
0,HeartTeleport,320,304,,,,,,
0,HeartMode,0,,,,,,,
0,SansBody,HandDown,,,,,,,
0,SansHead,BlueEye,,,,,,,
0,Sound,GasterBlaster,1.4,,,,,,
0.26,SansSlam,1,,,,,,,
0.5,SansBody,HandUp,,,,,,,
0,SansHead,NoEyes,,,,,,,
0,BoneStab,1,60,0.1,1,,,,
0.5,HeartMode,0,,,,,,,
0,SansBody,HandRight,,,,,,,
0,Sound,Ding,,,,,,,
0.35,Sound,GasterBlaster,1.4,,,,,,
0.35,SineBones,25,-25,375,20,,,,
1,SansAnimation,,,,,,,,
0,GasterBlaster,1,0,0,189,246,0,0.3,0.26
0,GasterBlaster,1,0,0,259,166,90,0.3,0.26666
0,GasterBlaster,1,640,480,449,366,180,0.3,0.26
0,GasterBlaster,1,640,480,379,446,270,0.3,0.26
0.7.5,GasterBlaster,1,0,0,189,176,45,0.3,0.26
0,GasterBlaster,1,640,0,449,176,135,0.3,0.26
0,GasterBlaster,1,640,480,449,436,225,0.3,0.26
0,GasterBlaster,1,0,480,189,436,315,0.3,0.26
0.7.5,GasterBlaster,1,0,0,189,246,0,0.33,0.26
0,GasterBlaster,1,0,0,259,166,90,0.3,0.26
0,GasterBlaster,1,640,480,449,366,180,0.3,0.26
0,GasterBlaster,1,640,480,379,446,270,0.3,0.26
0.5,GasterBlaster,2,0,240,139,306,0,0.6,0.5
0,GasterBlaster,2,640,240,499,306,180,0.6,0.5
3,SansHead,Default,,,,,,,
0,SansText,here we go.,,,,,,,
0,EndAttack,,,,,,,,
